estado,ano,metodo,sexo,idade,total
Ilhas Andaman e Nicobar,2001,Ingestão de inseticidas,Feminino,0-14,0
Ilhas Andaman e Nicobar,2001,Enforcamento,Feminino,0-14,2
Ilhas Andaman e Nicobar,2001,Salto de outros lugares,Feminino,0-14,0
Ilhas Andaman e Nicobar,2001,Eletrocussão,Feminino,0-14,0
Ilhas Andaman e Nicobar,2001,Utilização de alguma máquina que não um veículo ou arma de fogo,Feminino,0-14,0
Ilhas Andaman e Nicobar,2001,"Por fogo, sacrificando-se a alguma divindade",Feminino,0-14,0
Ilhas Andaman e Nicobar,2001,Salto de veículos em movimento,Feminino,0-14,0
Ilhas Andaman e Nicobar,2001,Outros métodos,Feminino,0-14,0
Ilhas Andaman e Nicobar,2001,Auto-inflição de lesão,Feminino,0-14,0
Ilhas Andaman e Nicobar,2001,Alcoolismo,Feminino,0-14,0
